id,name__sr,name__fr,name__el,name__en,name__de,name__sh,name__nl,name,wikipedia__commons,wikipedia__el,wikipedia__en,wikipedia__fr,wikipedia__sh,wikipedia__sr,image,gender,birth_date,given_name,original_wikiname,name__ru,name__cs,name__nb,name__da,name__nn,name__sv,wikipedia__cswikiquote,wikipedia__de,wikipedia__ru,identifier__MusicBrainz,family_name,name__ja,name__es,name__it,wikipedia__es,wikipedia__it,wikipedia__ja,identifier__freebase,name__pl,name__ie,name__hr,name__uk,wikipedia__cs,wikipedia__hr,wikipedia__ie,wikipedia__pl,wikipedia__uk,identifier__ISNI,identifier__VIAF,identifier__LCAuth,name__hu,name__ca,name__sr_ec,name__sr_el,name__en_ca,name__en_gb,name__bs,name__de_ch,name__lb,name__tr,name__lmo,name__la,name__sl,name__et,name__he,name__fi,name__vi,name__ka,name__gl,name__zh,wikipedia__bs,wikipedia__bswikiquote,wikipedia__ca,wikipedia__et,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__itwikiquote,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__nl,wikipedia__no,wikipedia__plwikiquote,wikipedia__slwikiquote,wikipedia__srwikiquote,wikipedia__tr,wikipedia__vi,wikipedia__zh,wikipedia__sv,name__mk,wikipedia__mk,name__ro,death_date,identifier__BNF,name__mg,wikipedia__mg,wikipedia__ro,identifier__GND,identifier__SUDOC,name__sq,wikipedia__sq,name__bg,name__io,name__be,name__oc,wikipedia__bg,wikipedia__da,wikipedia__io,name__cy,wikipedia__sl,website,identifier__NKC,identifier__NTA,identifier__IMDB,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__id,name__ar,name__pt,name__sk,name__hy,name__fa,wikipedia__ar,wikipedia__fa,wikipedia__hy,wikipedia__id,wikipedia__ko,wikipedia__pt,wikipedia__simple,wikipedia__sk,identifier__FIFA,wikipedia__be,twitter,identifier__AlloCine,identifier__allmovie,identifier__SFDb,name__rm,identifier__Munzinger,identifier__Britannica,facebook,identifier__moviemeter,identifier__elonet,identifier__PORT,identifier__CSFD,last_seen,identifier__DNF,identifier__SCOPE,identifier__kinopoisk,identifier__filmportal_de,wikipedia__ruwikinews,identifier__PACE,identifier__FAST,name__pt_br,wikipedia__enwikiquote,identifier__NLA,identifier__OLID,identifier__BAV,identifier__NUKAT,name__jv,name__hsb,name__mr,name__lt,name__tl,name__xmf,name__dsb,name__eo,wikipedia__dsb,wikipedia__hsb,wikipedia__jv,wikipedia__lt,wikipedia__mr,wikipedia__tl,wikipedia__xmf,name__za,name__yo,name__ms,name__ml,name__se,name__kk,name__be_tarask,name__lv,name__yue,wikipedia__be_x_old,wikipedia__eo,wikipedia__kk,wikipedia__lv,wikipedia__ml,wikipedia__ms,wikipedia__se,wikipedia__yo,wikipedia__za,wikipedia__zh_yue
Q12750313,Гордана Рајков,,,,,,,Гордана Рајков,,,,,,Гордана Рајков,,female,1944-12-29,,Гордана Рајков,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12752118,Иван Бауер,,,,,,,Иван Бауер,,,,,,Иван Бауер,,male,1967-11-28,,Иван Бауер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12755418,Милорад Драшковић,,Μίλοραντ Ντράσκοβιτς,Milorad Drašković,,Milorad Drašković,,Milorad Drašković,,Μίλοραντ Ντράσκοβιτς,Milorad Drašković,,Milorad Drašković,Милорад Драшковић,https://upload.wikimedia.org/wikipedia/commons/b/b1/Milorad_Drašković_wiki_photo.jpg,male,1873-04-10,Milorad,Милорад Драшковић,"Драшкович, Милорад",,,,,,,,"Драшкович, Милорад",,,,,,,,,,,,Milorad Drašković,,,Milorad Drašković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1921-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12756131,Ненад Константиновић,,,,,,,Ненад Константиновић,,,,,,Ненад Константиновић,https://upload.wikimedia.org/wikipedia/commons/f/f6/Nenad_Konstantinović.jpg,male,1973-07-09,,Ненад Константиновић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12756241,Никола Савић,,,,,,,Никола Савић,,,,,,Никола Савић,,male,1959-04-09,,Никола Савић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1278008,Јован Скерлић,Jovan Skerlić,,Jovan Skerlić,Jovan Skerlić,Jovan Skerlić,Jovan Skerlić,Jovan Skerlić,,,Jovan Skerlić,,Jovan Skerlić,Јован Скерлић,https://upload.wikimedia.org/wikipedia/commons/9/9b/Jovan_skerlic.jpg,male,1877-08-20,Jovan,Јован Скерлић,,Jovan Skerlić,Jovan Skerlić,Jovan Skerlić,Jovan Skerlić,Jovan Skerlić,,,,,,,Jovan Skerlić,Jovan Skerlić,,Jovan Skerlić,,/m/0gkyrzp,Jovan Skerlić,,Jovan Skerlić,Йован Скерлич,Jovan Skerlić,Jovan Skerlić,,Jovan Skerlić,Йован Скерлич,0000 0001 2319 6681,44566,n81129498,,,Јован Скерлић,Jovan Skerlić,Jovan Skerlić,Jovan Skerlić,,,,,,,,,,,,,,約凡·史可力克,,,,,,,,,,,,,,,,,,,,,,,,,,1914-05-15,12127977s,,,,119363887,029714885,,,,,,,,,,,,,kup20030000091426,070164711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82040,,,36020144,OL71449A,ADV11238463,n02063303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1280390,Маја Гојковић,Maja Gojković,,Maja Gojković,,Maja Gojković,Maja Gojković,Maja Gojković,Category:Maja Gojković,,Maja Gojković,Maja Gojković,Maja Gojković,Маја Гојковић,https://upload.wikimedia.org/wikipedia/commons/0/0d/Maja_Gojković.jpg,female,1963-05-22,Maja,Maja Gojković,,,,,,,,,,,,,Maja Gojković,,,,,/m/053grp,Maja Gojković,,Maja Gojković,Майя Гойкович,,Maja Gojković,,Maja Gojković,Майя Гойкович,,42651100,,Maja Gojković,,Маја Гојковић,Maja Gojković,,,Maja Gojković,,,,,,,,,,,,,瑪婭·戈伊科維奇,Maja Gojković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.majagojkovic.rs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1285682,Јован Кркобабић,Jovan Krkobabić,Γιόβαν Κρικομπάμπιτς,Jovan Krkobabić,,Jovan Krkobabić,Jovan Krkobabić,Jovan Krkobabić,Category:Jovan Krkobabić,Γιόβαν Κρικομπάμπιτς,Jovan Krkobabić,Jovan Krkobabić,Jovan Krkobabić,Јован Кркобабић,https://upload.wikimedia.org/wikipedia/commons/b/b7/Jovan_Krkobabić_Crop.jpg,male,1930-02-27,Jovan,Jovan Krkobabić,,,,,,,,,,,,,Jovan Krkobabić,,,,,/m/027ngd6,Jovan Krkobabić,,,,,,,Jovan Krkobabić,,,,,Jovan Krkobabić,,Јован Кркобабић,Jovan Krkobabić,,,,,,,,,Jovan Krkobabić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Јован Кркобабиќ,Јован Кркобабиќ,,2014-04-22,,,,,,,,,,,,,,,,Jovan Krkobabić,Jovan Krkobabić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1288930,Ненад Чанак,Nenad Čanak,,Nenad Čanak,Nenad Čanak,Nenad Čanak,Nenad Čanak,Nenad Čanak,Category:Nenad Čanak,,Nenad Čanak,Nenad Čanak,Nenad Čanak,Ненад Чанак,https://upload.wikimedia.org/wikipedia/commons/8/84/Nenad_Canak_crop.jpg,male,1959-11-02,Nenad,Nenad Čanak,,,,,,,,,,,,,,Nenad Čanak,,,,/m/02pm1jd,Nenad Čanak,,Nenad Čanak,,,Nenad Čanak,,Nenad Čanak,,,65970872,,,,Ненад Чанак,Nenad Čanak,,,Nenad Čanak,,,,,,,,,,,,,,Nenad Čanak,,,,,,,,,,,,,,,,,,,,,,,,Nenad Čanak,,,,,Nenad Čanak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1290169,Сулејман Угљанин,Sulejman Ugljanin,Σουλεϊμάν Ουγκλιάνιν,Sulejman Ugljanin,Sulejman Ugljanin,Sulejman Ugljanin,Sulejman Ugljanin,Sulejman Ugljanin,,Σουλεϊμάν Ουγκλιάνιν,Sulejman Ugljanin,Sulejman Ugljanin,Sulejman Ugljanin,Сулејман Угљанин,https://upload.wikimedia.org/wikipedia/commons/c/c6/Sulejman_Ugljanin_MC.jpg,male,1953-11-20,Sulejman,Sulejman Ugljanin,,,,,,Sulejman Ugljanin,,Sulejman Ugljanin,,,,,Sulejman Ugljanin,,,,,/m/027t7xb,Sulejman Ugljanin,,,Сулейман Углянін,,,,Sulejman Ugljanin,Сулейман Углянін,,,,Sulejman Ugljanin,,Сулејман Угљанин,Sulejman Ugljanin,Sulejman Ugljanin,Sulejman Ugljanin,Sulejman Ugljanin,Sulejman Ugljanin,,,,,,,,,,,,,Sulejman Ugljanin,,,,,,,,,,,,,,,,,,,,,Sulejman Ugljanin,,,,,,,,,,,Sulejman Ugljanin,Sulejman Ugljanin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1290582,Милован Миловановић,,Μίλοβαν Μιλοβάνοβιτς,Milovan Milovanović,,Milovan Milovanović,Milovan Milovanović,Milovan Milovanović,,Μίλοβαν Μιλοβάνοβιτς,Milovan Milovanović,,Milovan Milovanović,Милован Миловановић,https://upload.wikimedia.org/wikipedia/commons/c/c3/Milovan_Milovanovic.jpg,male,1863-02-17,Milovan,Милован Миловановић,,,,,,Milovan Milovanović,,,,,,,Milovan Milovanović,Milovan Milovanović,,Milovan Milovanović,,/m/05b2lyh,,,,,,,,,,0000 0000 5536 3651,3270252,,,,Милован Миловановић,Milovan Milovanović,Milovan Milovanović,Milovan Milovanović,,,,,,,,,,Milovan Milovanović,,,,,,,,,Milovan Milovanović,,,,,,,,,,,,,,,,,Milovan Milovanović,,,,1912-06-18,12237161k,,,,,110987020,,,Милован Милованович,,,,Милован Милованович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297535,,,,OL6746417A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1292388,Вања Удовичић,Vanja Udovičić,,Vanja Udovičić,,Vanja Udovičić,Vanja Udovičić,Vanja Udovičić,Category:Vanja Udovičić,,Vanja Udovičić,Vanja Udovičić,Vanja Udovičić,Вања Удовичић,https://upload.wikimedia.org/wikipedia/commons/f/fb/Vanja_Udovičić_Crop.jpg,male,1982-09-12,Vanja,Vanja Udovičić,"Удовичич, Ваня",,Vanja Udovičić,Vanja Udovičić,Vanja Udovičić,Vanja Udovičić,,,"Удовичич, Ваня",,,,Vanja Udovičić,Vanja Udovičić,Vanja Udovičić,Vanja Udovičić,,/m/0266b_2,Vanja Udovičić,,Vanja Udovičić,Ваня Удовичич,,Vanja Udovičić,,Vanja Udovičić,Ваня Удовичич,,,,Vanja Udovičić,,Вања Удовичић,Vanja Udovičić,,,,,,,,,,,וניה אודוביצ'יץ',,,,,,,,,,,,וניה אודוביצ'יץ',Vanja Udovičić,,,,,,,Vanja Udovičić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanja Udovičić,,,,,,,,,Vanja Udovičić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12956090,Александар Бакочевић,Aleksandar Bakočević,,Aleksandar Bakočević,Aleksandar Bakočević,Aleksandar Bakočević,,Aleksandar Bakočević,,,,Aleksandar Bakočević,Aleksandar Bakočević,Александар Бакочевић,"https://upload.wikimedia.org/wikipedia/commons/f/f6/Stevan_Kragujevic_,_Aleksandar_Bakocevic.JPG",male,1928-11-08,Aleksandar,Александар Бакочевић,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 4344 9968,31569055,no93028062,,,Александар Бакочевић,Aleksandar Bakočević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13405793,Небојша Лековић,Nebojša Leković,,Nebojša Leković,,,Nebojša Leković,Nebojša Leković,,,,Nebojša Leković,,Небојша Лековић,,male,1964-09-25,Nebojša,Небојша Лековић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13423390,Милољуб Албијанић,Miloljub Albijanić,,Miloljub Albijanić,Miloljub Albijanić,,Miloljub Albijanić,Miloljub Albijanić,,,,Miloljub Albijanić,,Милољуб Албијанић,,male,1967-07-08,,Милољуб Албијанић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
